Team_A,Team_B,Score_A,Score_B,Winner
Brooklyn Nets,Cleveland Cavaliers,100,105,Cleveland Cavaliers
Toronto Raptors,Los Angeles Clippers,103,105,Los Angeles Clippers
Houston Rockets,Detroit Pistons,101,99,Houston Rockets
Boston Celtics,Milwaukee Bucks,113,107,Boston Celtics
New York Knicks,Indiana Pacers,121,132,Indiana Pacers
Washington Wizards,Orlando Magic,94,121,Orlando Magic
Charlotte Hornets,Philadelphia 76ers,105,107,Philadelphia 76ers
Miami Heat,Minnesota Timberwolves,95,94,Miami Heat
Golden State Warriors,Oklahoma City Thunder,127,116,Golden State Warriors
Dallas Mavericks,Denver Nuggets,120,122,Denver Nuggets
Sacramento Kings,Phoenix Suns,127,118,Sacramento Kings
Memphis Grizzlies,Portland Trail Blazers,134,89,Memphis Grizzlies
Toronto Raptors,Los Angeles Lakers,103,123,Los Angeles Lakers
Cleveland Cavaliers,Chicago Bulls,119,113,Cleveland Cavaliers
Washington Wizards,Houston Rockets,92,107,Houston Rockets
Brooklyn Nets,New Orleans Pelicans,107,105,Brooklyn Nets
Los Angeles Clippers,Oklahoma City Thunder,128,134,Oklahoma City Thunder
Sacramento Kings,San Antonio Spurs,96,116,San Antonio Spurs
Atlanta Hawks,Boston Celtics,117,116,Atlanta Hawks
Miami Heat,Detroit Pistons,121,123,Detroit Pistons
Charlotte Hornets,Orlando Magic,89,114,Orlando Magic
New York Knicks,Philadelphia 76ers,111,99,New York Knicks
Toronto Raptors,Milwaukee Bucks,85,99,Milwaukee Bucks
Phoenix Suns,Utah Jazz,120,112,Phoenix Suns
Dallas Mavericks,Golden State Warriors,117,120,Golden State Warriors
Minnesota Timberwolves,Portland Trail Blazers,108,122,Portland Trail Blazers
Indiana Pacers,Orlando Magic,90,94,Orlando Magic
Boston Celtics,Brooklyn Nets,139,114,Boston Celtics
Chicago Bulls,New York Knicks,124,123,Chicago Bulls
Cleveland Cavaliers,Philadelphia 76ers,114,106,Cleveland Cavaliers
New Orleans Pelicans,Oklahoma City Thunder,88,106,Oklahoma City Thunder
Los Angeles Clippers,Houston Rockets,103,111,Houston Rockets
Detroit Pistons,Milwaukee Bucks,120,127,Milwaukee Bucks
Washington Wizards,San Antonio Spurs,130,139,San Antonio Spurs
Memphis Grizzlies,Los Angeles Lakers,123,128,Los Angeles Lakers
Minnesota Timberwolves,Portland Trail Blazers,98,106,Portland Trail Blazers
Phoenix Suns,Sacramento Kings,104,127,Sacramento Kings
Dallas Mavericks,Utah Jazz,113,115,Utah Jazz
Miami Heat,Indiana Pacers,124,111,Miami Heat
Philadelphia 76ers,Orlando Magic,86,98,Orlando Magic
Detroit Pistons,Toronto Raptors,99,95,Detroit Pistons
Washington Wizards,Atlanta Hawks,117,129,Atlanta Hawks
Chicago Bulls,Cleveland Cavaliers,126,144,Cleveland Cavaliers
Brooklyn Nets,New York Knicks,122,124,New York Knicks
Los Angeles Lakers,San Antonio Spurs,120,115,Los Angeles Lakers
Los Angeles Clippers,Houston Rockets,104,125,Houston Rockets
Denver Nuggets,New Orleans Pelicans,94,101,New Orleans Pelicans
Phoenix Suns,Oklahoma City Thunder,83,99,Oklahoma City Thunder
Memphis Grizzlies,Golden State Warriors,118,123,Golden State Warriors
Minnesota Timberwolves,Sacramento Kings,130,126,Minnesota Timberwolves
Milwaukee Bucks,Charlotte Hornets,114,115,Charlotte Hornets
Toronto Raptors,Boston Celtics,123,126,Boston Celtics
Los Angeles Lakers,New Orleans Pelicans,104,99,Los Angeles Lakers
San Antonio Spurs,Dallas Mavericks,93,110,Dallas Mavericks
Utah Jazz,Sacramento Kings,117,121,Sacramento Kings
Phoenix Suns,Minnesota Timberwolves,117,120,Minnesota Timberwolves
Miami Heat,Indiana Pacers,110,119,Indiana Pacers
Charlotte Hornets,Cleveland Cavaliers,114,128,Cleveland Cavaliers
Detroit Pistons,Washington Wizards,124,104,Detroit Pistons
Denver Nuggets,Memphis Grizzlies,90,105,Memphis Grizzlies
Atlanta Hawks,Portland Trail Blazers,110,114,Portland Trail Blazers
Brooklyn Nets,New York Knicks,104,114,New York Knicks
Houston Rockets,Chicago Bulls,143,107,Houston Rockets
Dallas Mavericks,Oklahoma City Thunder,121,119,Dallas Mavericks
Utah Jazz,Los Angeles Clippers,105,116,Los Angeles Clippers
Chicago Bulls,Detroit Pistons,122,112,Chicago Bulls
Philadelphia 76ers,Miami Heat,89,106,Miami Heat
Washington Wizards,New York Knicks,106,134,New York Knicks
Indiana Pacers,Toronto Raptors,119,130,Toronto Raptors
Houston Rockets,Milwaukee Bucks,100,101,Milwaukee Bucks
Orlando Magic,Phoenix Suns,109,99,Orlando Magic
Atlanta Hawks,Sacramento Kings,109,108,Atlanta Hawks
Golden State Warriors,Los Angeles Clippers,99,102,Los Angeles Clippers
Cleveland Cavaliers,Boston Celtics,117,120,Boston Celtics
Charlotte Hornets,Brooklyn Nets,115,116,Brooklyn Nets
Denver Nuggets,Memphis Grizzlies,122,110,Denver Nuggets
New Orleans Pelicans,Dallas Mavericks,91,132,Dallas Mavericks
Oklahoma City Thunder,San Antonio Spurs,104,110,San Antonio Spurs
Utah Jazz,Los Angeles Lakers,118,124,Los Angeles Lakers
New Orleans Pelicans,Cleveland Cavaliers,100,128,Cleveland Cavaliers
Chicago Bulls,Milwaukee Bucks,106,122,Milwaukee Bucks
Indiana Pacers,Houston Rockets,113,130,Houston Rockets
Philadelphia 76ers,Memphis Grizzlies,111,117,Memphis Grizzlies
Portland Trail Blazers,Oklahoma City Thunder,99,109,Oklahoma City Thunder
New York Knicks,Phoenix Suns,138,122,New York Knicks
Atlanta Hawks,Golden State Warriors,97,120,Golden State Warriors
Orlando Magic,Los Angeles Clippers,93,104,Los Angeles Clippers
Detroit Pistons,Charlotte Hornets,121,123,Charlotte Hornets
Minnesota Timberwolves,Toronto Raptors,105,110,Toronto Raptors
Utah Jazz,San Antonio Spurs,118,126,San Antonio Spurs
Orlando Magic,Los Angeles Lakers,119,118,Orlando Magic
Brooklyn Nets,Philadelphia 76ers,98,113,Philadelphia 76ers
Boston Celtics,Washington Wizards,108,96,Boston Celtics
Indiana Pacers,Milwaukee Bucks,117,129,Milwaukee Bucks
Atlanta Hawks,Chicago Bulls,122,136,Chicago Bulls
Portland Trail Blazers,Houston Rockets,88,116,Houston Rockets
Golden State Warriors,New Orleans Pelicans,112,108,Golden State Warriors
Dallas Mavericks,Denver Nuggets,123,120,Dallas Mavericks
Sacramento Kings,Los Angeles Clippers,88,104,Los Angeles Clippers
New York Knicks,Utah Jazz,106,121,Utah Jazz
Detroit Pistons,Orlando Magic,100,111,Orlando Magic
Memphis Grizzlies,Chicago Bulls,142,131,Memphis Grizzlies
Portland Trail Blazers,Houston Rockets,104,98,Portland Trail Blazers
Charlotte Hornets,Milwaukee Bucks,119,125,Milwaukee Bucks
Golden State Warriors,San Antonio Spurs,94,104,San Antonio Spurs
Denver Nuggets,Los Angeles Lakers,127,102,Denver Nuggets
Minnesota Timberwolves,Boston Celtics,105,107,Boston Celtics
Washington Wizards,Indiana Pacers,103,115,Indiana Pacers
Dallas Mavericks,Miami Heat,118,123,Dallas Mavericks
Los Angeles Clippers,Philadelphia 76ers,125,99,Los Angeles Clippers
Toronto Raptors,Cleveland Cavaliers,108,122,Cleveland Cavaliers
Brooklyn Nets,Sacramento Kings,108,103,Brooklyn Nets
Orlando Magic,Charlotte Hornets,95,84,Orlando Magic
Toronto Raptors,Detroit Pistons,100,102,Detroit Pistons
New Orleans Pelicans,Indiana Pacers,110,114,Indiana Pacers
Dallas Mavericks,Atlanta Hawks,129,119,Dallas Mavericks
Los Angeles Clippers,Boston Celtics,94,126,Boston Celtics
Portland Trail Blazers,Memphis Grizzlies,98,123,Memphis Grizzlies
New York Knicks,Denver Nuggets,145,118,New York Knicks
Brooklyn Nets,Golden State Warriors,128,120,Brooklyn Nets
Oklahoma City Thunder,Sacramento Kings,130,109,Oklahoma City Thunder
Chicago Bulls,Washington Wizards,127,108,Chicago Bulls
Milwaukee Bucks,Miami Heat,106,103,Milwaukee Bucks
Houston Rockets,Minnesota Timberwolves,117,111,Houston Rockets
San Antonio Spurs,Utah Jazz,128,115,San Antonio Spurs
Los Angeles Lakers,Phoenix Suns,100,127,Phoenix Suns
Miami Heat,Charlotte Hornets,98,94,Miami Heat
Atlanta Hawks,Cleveland Cavaliers,135,124,Atlanta Hawks
Portland Trail Blazers,Indiana Pacers,114,121,Indiana Pacers
Chicago Bulls,Orlando Magic,119,133,Orlando Magic
Houston Rockets,Philadelphia 76ers,122,115,Houston Rockets
Los Angeles Clippers,Washington Wizards,121,96,Los Angeles Clippers
New York Knicks,Dallas Mavericks,114,129,Dallas Mavericks
Detroit Pistons,Memphis Grizzlies,111,131,Memphis Grizzlies
Sacramento Kings,Minnesota Timberwolves,115,104,Sacramento Kings
Toronto Raptors,New Orleans Pelicans,119,93,Toronto Raptors
Los Angeles Lakers,San Antonio Spurs,119,101,Los Angeles Lakers
Brooklyn Nets,Phoenix Suns,127,117,Brooklyn Nets
Denver Nuggets,Utah Jazz,122,103,Denver Nuggets
Oklahoma City Thunder,Golden State Warriors,105,101,Oklahoma City Thunder
New York Knicks,Charlotte Hornets,99,98,New York Knicks
Cleveland Cavaliers,Atlanta Hawks,101,117,Atlanta Hawks
New Orleans Pelicans,Memphis Grizzlies,109,120,Memphis Grizzlies
Orlando Magic,Brooklyn Nets,123,100,Orlando Magic
Los Angeles Clippers,Minnesota Timberwolves,92,93,Minnesota Timberwolves
Detroit Pistons,Indiana Pacers,130,106,Detroit Pistons
Toronto Raptors,Miami Heat,111,121,Miami Heat
Boston Celtics,Chicago Bulls,138,129,Boston Celtics
Oklahoma City Thunder,Los Angeles Lakers,101,93,Oklahoma City Thunder
Sacramento Kings,Portland Trail Blazers,106,115,Portland Trail Blazers
Atlanta Hawks,Charlotte Hornets,107,104,Atlanta Hawks
Philadelphia 76ers,Detroit Pistons,111,96,Philadelphia 76ers
Washington Wizards,Milwaukee Bucks,114,124,Milwaukee Bucks
Golden State Warriors,Phoenix Suns,105,113,Phoenix Suns
Dallas Mavericks,Utah Jazz,106,94,Dallas Mavericks
