Team_A,Team_B,Score_A,Score_B,Winner
Miami Heat,Milwaukee Bucks,113,120,Milwaukee Bucks
San Antonio Spurs,New Orleans Pelicans,96,114,San Antonio Spurs
Memphis Grizzlies,Cleveland Cavaliers,123,129,Memphis Grizzlies
Oklahoma City Thunder,Minnesota Timberwolves,130,123,Oklahoma City Thunder
Los Angeles Clippers,Detroit Pistons,97,106,Los Angeles Clippers
Denver Nuggets,Indiana Pacers,125,116,Denver Nuggets
Chicago Bulls,Philadelphia 76ers,142,110,Chicago Bulls
Brooklyn Nets,Washington Wizards,99,107,Brooklyn Nets
Miami Heat,Atlanta Hawks,86,98,Atlanta Hawks
Minnesota Timberwolves,Oklahoma City Thunder,131,128,Minnesota Timberwolves
Portland Trail Blazers,Utah Jazz,114,112,Portland Trail Blazers
Charlotte Hornets,Sacramento Kings,88,130,Sacramento Kings
Boston Celtics,Toronto Raptors,111,101,Boston Celtics
Cleveland Cavaliers,Orlando Magic,122,82,Cleveland Cavaliers
Milwaukee Bucks,Houston Rockets,97,100,Milwaukee Bucks
Phoenix Suns,Memphis Grizzlies,148,151,Memphis Grizzlies
San Antonio Spurs,New Orleans Pelicans,103,109,San Antonio Spurs
Charlotte Hornets,Golden State Warriors,92,128,Golden State Warriors
Dallas Mavericks,Los Angeles Lakers,99,107,Los Angeles Lakers
Boston Celtics,Detroit Pistons,97,117,Detroit Pistons
Toronto Raptors,Indiana Pacers,91,111,Toronto Raptors
Philadelphia 76ers,New York Knicks,105,110,New York Knicks
Portland Trail Blazers,Washington Wizards,129,121,Portland Trail Blazers
Oklahoma City Thunder,Brooklyn Nets,129,121,Oklahoma City Thunder
Atlanta Hawks,Miami Heat,109,131,Atlanta Hawks
Los Angeles Clippers,Chicago Bulls,122,117,Los Angeles Clippers
Sacramento Kings,Utah Jazz,118,101,Sacramento Kings
San Antonio Spurs,Houston Rockets,106,118,San Antonio Spurs
Golden State Warriors,Orlando Magic,121,115,Golden State Warriors
Denver Nuggets,Milwaukee Bucks,112,121,Milwaukee Bucks
Charlotte Hornets,Dallas Mavericks,96,103,Dallas Mavericks
New Orleans Pelicans,Phoenix Suns,124,116,New Orleans Pelicans
Minnesota Timberwolves,Los Angeles Lakers,102,111,Los Angeles Lakers
Denver Nuggets,Detroit Pistons,134,119,Denver Nuggets
Oklahoma City Thunder,Atlanta Hawks,135,119,Oklahoma City Thunder
Cleveland Cavaliers,Boston Celtics,123,116,Cleveland Cavaliers
Portland Trail Blazers,Brooklyn Nets,121,102,Portland Trail Blazers
Indiana Pacers,Miami Heat,120,125,Indiana Pacers
Toronto Raptors,Chicago Bulls,115,125,Toronto Raptors
New York Knicks,Memphis Grizzlies,114,113,New York Knicks
New Orleans Pelicans,Phoenix Suns,108,125,New Orleans Pelicans
Minnesota Timberwolves,Utah Jazz,116,117,Minnesota Timberwolves
Los Angeles Clippers,Los Angeles Lakers,102,106,Los Angeles Lakers
Washington Wizards,Charlotte Hornets,113,100,Washington Wizards
Brooklyn Nets,Detroit Pistons,94,115,Brooklyn Nets
Sacramento Kings,Houston Rockets,113,103,Sacramento Kings
San Antonio Spurs,Memphis Grizzlies,130,128,San Antonio Spurs
Golden State Warriors,Philadelphia 76ers,119,126,Golden State Warriors
Milwaukee Bucks,Dallas Mavericks,132,117,Milwaukee Bucks
Denver Nuggets,Boston Celtics,103,110,Denver Nuggets
Portland Trail Blazers,Cleveland Cavaliers,129,133,Portland Trail Blazers
Chicago Bulls,Indiana Pacers,112,127,Chicago Bulls
New York Knicks,Miami Heat,116,112,New York Knicks
Toronto Raptors,Orlando Magic,104,102,Toronto Raptors
Oklahoma City Thunder,San Antonio Spurs,146,132,Oklahoma City Thunder
New Orleans Pelicans,Utah Jazz,128,121,New Orleans Pelicans
Minnesota Timberwolves,Phoenix Suns,116,98,Minnesota Timberwolves
Los Angeles Clippers,Los Angeles Lakers,102,108,Los Angeles Lakers
Golden State Warriors,Charlotte Hornets,119,101,Golden State Warriors
Portland Trail Blazers,Philadelphia 76ers,119,102,Portland Trail Blazers
Washington Wizards,Miami Heat,90,106,Washington Wizards
Atlanta Hawks,Memphis Grizzlies,132,130,Atlanta Hawks
Houston Rockets,Oklahoma City Thunder,128,137,Houston Rockets
Sacramento Kings,Dallas Mavericks,122,98,Sacramento Kings
Detroit Pistons,Utah Jazz,134,106,Detroit Pistons
Houston Rockets,Indiana Pacers,102,115,Houston Rockets
Toronto Raptors,Orlando Magic,114,113,Toronto Raptors
Milwaukee Bucks,Atlanta Hawks,127,121,Milwaukee Bucks
Golden State Warriors,New York Knicks,114,102,Golden State Warriors
Cleveland Cavaliers,Chicago Bulls,139,117,Cleveland Cavaliers
Philadelphia 76ers,Minnesota Timberwolves,112,126,Philadelphia 76ers
Brooklyn Nets,San Antonio Spurs,113,127,San Antonio Spurs
Los Angeles Clippers,Phoenix Suns,117,119,Los Angeles Clippers
New Orleans Pelicans,Los Angeles Lakers,115,136,Los Angeles Lakers
Portland Trail Blazers,Boston Celtics,118,128,Portland Trail Blazers
Minnesota Timberwolves,Charlotte Hornets,125,110,Minnesota Timberwolves
Miami Heat,Cleveland Cavaliers,107,112,Miami Heat
Utah Jazz,Washington Wizards,122,125,Utah Jazz
Oklahoma City Thunder,Memphis Grizzlies,120,103,Oklahoma City Thunder
Sacramento Kings,Denver Nuggets,110,116,Sacramento Kings
Dallas Mavericks,Milwaukee Bucks,107,137,Dallas Mavericks
Detroit Pistons,Los Angeles Clippers,115,123,Detroit Pistons
Indiana Pacers,Atlanta Hawks,118,124,Indiana Pacers
Philadelphia 76ers,Boston Celtics,105,123,Philadelphia 76ers
Golden State Warriors,Brooklyn Nets,121,119,Golden State Warriors
Houston Rockets,New Orleans Pelicans,109,97,Houston Rockets
New York Knicks,Los Angeles Lakers,109,113,Los Angeles Lakers
Chicago Bulls,Orlando Magic,125,123,Chicago Bulls
Cleveland Cavaliers,Charlotte Hornets,118,117,Cleveland Cavaliers
Utah Jazz,Toronto Raptors,109,118,Utah Jazz
Memphis Grizzlies,Dallas Mavericks,122,111,Memphis Grizzlies
Minnesota Timberwolves,Miami Heat,106,104,Minnesota Timberwolves
Portland Trail Blazers,Oklahoma City Thunder,89,107,Portland Trail Blazers
Phoenix Suns,Denver Nuggets,141,149,Denver Nuggets
San Antonio Spurs,Sacramento Kings,109,127,San Antonio Spurs
New York Knicks,Los Angeles Clippers,95,105,Los Angeles Clippers
Brooklyn Nets,Charlotte Hornets,102,105,Brooklyn Nets
New Orleans Pelicans,Houston Rockets,117,146,Houston Rockets
Indiana Pacers,Atlanta Hawks,118,120,Indiana Pacers
Washington Wizards,Toronto Raptors,118,117,Washington Wizards
Chicago Bulls,Miami Heat,114,109,Chicago Bulls
Orlando Magic,Milwaukee Bucks,111,109,Orlando Magic
Los Angeles Lakers,Boston Celtics,101,111,Los Angeles Lakers
Detroit Pistons,Golden State Warriors,110,115,Detroit Pistons
Denver Nuggets,Oklahoma City Thunder,103,127,Oklahoma City Thunder
Phoenix Suns,Dallas Mavericks,125,116,Phoenix Suns
Cleveland Cavaliers,Milwaukee Bucks,112,100,Cleveland Cavaliers
Memphis Grizzlies,New Orleans Pelicans,107,104,Memphis Grizzlies
Utah Jazz,Philadelphia 76ers,122,126,Utah Jazz
San Antonio Spurs,Minnesota Timberwolves,124,141,San Antonio Spurs
Detroit Pistons,Portland Trail Blazers,119,112,Detroit Pistons
Sacramento Kings,Los Angeles Clippers,110,111,Sacramento Kings
Philadelphia 76ers,Atlanta Hawks,123,132,Philadelphia 76ers
Utah Jazz,Boston Celtics,108,114,Utah Jazz
Los Angeles Lakers,Brooklyn Nets,108,111,Los Angeles Lakers
Charlotte Hornets,Miami Heat,105,102,Charlotte Hornets
Washington Wizards,Toronto Raptors,104,119,Washington Wizards
Indiana Pacers,Chicago Bulls,103,121,Indiana Pacers
Orlando Magic,Houston Rockets,84,97,Houston Rockets
Phoenix Suns,Memphis Grizzlies,118,120,Memphis Grizzlies
Denver Nuggets,Oklahoma City Thunder,140,127,Denver Nuggets
Dallas Mavericks,San Antonio Spurs,133,129,Dallas Mavericks
Portland Trail Blazers,Golden State Warriors,120,130,Golden State Warriors
New York Knicks,Sacramento Kings,133,104,New York Knicks
Brooklyn Nets,Cleveland Cavaliers,104,109,Brooklyn Nets
Washington Wizards,Detroit Pistons,103,123,Detroit Pistons
Milwaukee Bucks,Indiana Pacers,114,115,Indiana Pacers
Los Angeles Clippers,New Orleans Pelicans,120,127,Los Angeles Clippers
Charlotte Hornets,Atlanta Hawks,110,123,Charlotte Hornets
Oklahoma City Thunder,Boston Celtics,118,112,Oklahoma City Thunder
Philadelphia 76ers,Toronto Raptors,105,118,Toronto Raptors
Los Angeles Clippers,Miami Heat,119,104,Los Angeles Clippers
Phoenix Suns,Houston Rockets,104,111,Phoenix Suns
Utah Jazz,Memphis Grizzlies,115,122,Memphis Grizzlies
Dallas Mavericks,San Antonio Spurs,116,126,San Antonio Spurs
Minnesota Timberwolves,Denver Nuggets,115,95,Minnesota Timberwolves
New York Knicks,Portland Trail Blazers,114,113,New York Knicks
Washington Wizards,Detroit Pistons,129,125,Washington Wizards
Los Angeles Lakers,Milwaukee Bucks,106,126,Los Angeles Lakers
Brooklyn Nets,Chicago Bulls,110,116,Brooklyn Nets
Sacramento Kings,Golden State Warriors,104,130,Golden State Warriors
Orlando Magic,New Orleans Pelicans,113,93,Orlando Magic
Boston Celtics,Miami Heat,103,91,Boston Celtics
Indiana Pacers,Philadelphia 76ers,112,100,Indiana Pacers
Los Angeles Clippers,Atlanta Hawks,121,98,Los Angeles Clippers
Dallas Mavericks,Houston Rockets,96,133,Houston Rockets
Cleveland Cavaliers,Memphis Grizzlies,133,124,Cleveland Cavaliers
Orlando Magic,Minnesota Timberwolves,111,118,Orlando Magic
Charlotte Hornets,San Antonio Spurs,145,134,Charlotte Hornets
Los Angeles Lakers,Denver Nuggets,126,131,Los Angeles Lakers
Toronto Raptors,Utah Jazz,126,118,Toronto Raptors
Sacramento Kings,Phoenix Suns,106,122,Sacramento Kings
